           1   190.74467033409496     
           2   411.75353439235209     
           3   632.80398971671241     
           4   853.91836463599134     
           5   1075.1189939355356     
           6   1296.4282211132561     
           7   1517.8684006365449     
           8   1739.4619002003012     
           9   1961.2311029862985     
          10   2183.1984099241126     
          11   2405.3862419538373     
          12   2627.8170422908329     
          13   2850.5132786927047     
          14   3073.4974457287899     
          15   3296.7920670523208     
          16   3520.4196976755525     
          17   3744.4029262480499     
          18   3968.7643773383443     
          19   4193.5267137192777     
          20   4418.7126386571590     
          21   4644.3448982049958     
          22   4870.4462835001323     
          23   5097.0396330663352     
          24   5324.1478351207152     
          25   5551.7938298857307     
          26   5780.0006119062700     
          27   6008.7912323724668     
          28   6238.1888014479919     
