           1  0.26003199803101151     
           2  0.37633277837786910     
           3  0.45955847026467062     
           4  0.52585637051103651     
           5  0.58121929302991149     
           6  0.62869323135007094     
           7  0.67009194634164992     
           8  0.70660643900716957     
           9  0.73907295133444284     
          10  0.76810805103982671     
          11  0.79418360494439810     
          12  0.81767149934337291     
          13  0.83887185571138401     
          14  0.85803165409794868     
          15  0.87535748933117508     
          16  0.89102458384131722     
          17  0.90518332587344175     
          18  0.91796412154087093     
          19  0.92948106751112991     
          20  0.93983477974318408     
          21  0.94911460602897990     
          22  0.95740038052182930     
          23  0.96476383234710972     
          24  0.97126972917553112     
          25  0.97697681507169343     
          26  0.98193858675886347     
          27  0.98620394159281133     
          28  0.98981772266480761     
